minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
1,1.0,seeding,26.132498172336316,7.352924823818947,11.852668339329798,150.0,90.0,3682.0852436703935,80.0,-53.86750182766369,50.0,-42.647075176181055,50.0,-38.147331660670204,5500.0,-1817.9147563296065,117.34141655937194,90.000000000024,26.132498172336316,3682.0852436703935,7.352924823818947,11.852668339329798,19.205593163148745,27.341416559347923,3722.0234663366446,,,,,
2,2.0,seeding,26.13249817233515,7.352924823818845,11.852668339329519,150.0,90.0,3682.0852436704,80.0,-53.86750182766485,50.0,-42.647075176181154,50.0,-38.14733166067048,5500.0,-1817.9147563296,117.34141655936853,90.00000000002187,26.13249817233515,3682.0852436704,7.352924823818844,11.852668339329519,19.205593163148365,27.341416559346662,3722.02346633665,,,,,
3,3.0,seeding,26.132498172334117,7.352924823818754,11.852668339329261,150.0,90.0,3682.0852436704054,80.0,-53.86750182766588,50.0,-42.64707517618125,50.0,-38.14733166067074,5500.0,-1817.9147563295946,117.34141655936546,90.00000000001992,26.132498172334117,3682.0852436704054,7.352924823818754,11.852668339329261,19.205593163148016,27.341416559345525,3722.0234663366546,,,,,
4,4.0,seeding,26.13249817233315,7.352924823818671,11.852668339329028,150.0,90.0,3682.08524367041,80.0,-53.86750182766685,50.0,-42.64707517618133,50.0,-38.14733166067097,5500.0,-1817.91475632959,117.34141655936264,90.00000000001816,26.13249817233315,3682.08524367041,7.352924823818671,11.852668339329028,19.2055931631477,27.341416559344477,3722.0234663366587,,,,,
5,5.0,seeding,26.13249817233232,7.352924823818594,11.852668339328817,150.0,90.0,3682.085243670416,80.0,-53.86750182766768,50.0,-42.6470751761814,50.0,-38.147331660671185,5500.0,-1817.9147563295842,117.34141655936008,90.00000000001654,26.13249817233232,3682.085243670416,7.352924823818594,11.852668339328817,19.205593163147412,27.341416559343536,3722.0234663366637,,,,,
6,6.0,seeding,26.13249817233152,7.352924823818524,11.852668339328623,150.0,90.0,3682.0852436704217,80.0,-53.86750182766848,50.0,-42.647075176181474,50.0,-38.14733166067138,5500.0,-1817.9147563295783,117.34141655935771,90.00000000001505,26.13249817233152,3682.0852436704217,7.352924823818524,11.852668339328623,19.20559316314715,27.34141655934266,3722.0234663366687,,,,,
7,7.0,seeding,26.132498172330788,7.35292482381846,11.852668339328448,150.0,90.0,3682.085243670426,80.0,-53.867501827669216,50.0,-42.64707517618154,50.0,-38.147331660671554,5500.0,-1817.9147563295742,117.34141655935561,90.0000000000137,26.132498172330788,3682.085243670426,7.35292482381846,11.852668339328448,19.205593163146908,27.34141655934189,3722.0234663366723,,,,,
8,8.0,seeding,26.13249817233012,7.3529248238184035,11.852668339328288,150.0,90.0,3682.0852436704286,80.0,-53.867501827669884,50.0,-42.647075176181595,50.0,-38.14733166067171,5500.0,-1817.9147563295714,117.34141655935365,90.0000000000125,26.13249817233012,3682.0852436704286,7.3529248238184035,11.852668339328288,19.20559316314669,27.341416559341155,3722.0234663366746,,,,,
9,9.0,seeding,26.13249817232952,7.352924823818352,11.85266833932814,150.0,90.0,3682.0852436704317,80.0,-53.86750182767048,50.0,-42.647075176181644,50.0,-38.14733166067186,5500.0,-1817.9147563295683,117.34141655935188,90.0000000000114,26.13249817232952,3682.0852436704317,7.352924823818352,11.85266833932814,19.205593163146492,27.34141655934049,3722.0234663366778,,,,,
10,10.0,seeding,26.132498172328987,7.352924823818303,11.852668339328009,150.0,90.0,3682.0852436704345,80.0,-53.86750182767101,50.0,-42.647075176181694,50.0,-38.147331660671995,5500.0,-1817.9147563295655,117.34141655935028,90.00000000001036,26.132498172328987,3682.0852436704345,7.352924823818304,11.852668339328009,19.20559316314631,27.341416559339915,3722.02346633668,,,,,
11,11.0,seeding,26.13249817232852,7.352924823818259,11.852668339327888,150.0,90.0,3682.085243670437,80.0,-53.867501827671475,50.0,-42.647075176181744,50.0,-38.14733166067211,5500.0,-1817.9147563295628,117.34141655934881,90.00000000000945,26.13249817232852,3682.085243670437,7.35292482381826,11.852668339327888,19.205593163146148,27.341416559339383,3722.0234663366823,,,,,
12,12.0,seeding,26.132498172328056,7.3529248238182205,11.852668339327778,150.0,90.0,3682.08524367044,80.0,-53.867501827671944,50.0,-42.64707517618178,50.0,-38.14733166067222,5500.0,-1817.91475632956,117.34141655934751,90.00000000000863,26.132498172328056,3682.08524367044,7.3529248238182205,11.852668339327778,19.205593163146,27.341416559338867,3722.0234663366846,,,,,
13,13.0,seeding,26.132498172327658,7.352924823818184,11.852668339327678,150.0,90.0,3682.085243670443,80.0,-53.86750182767234,50.0,-42.647075176181815,50.0,-38.14733166067232,5500.0,-1817.914756329557,117.34141655934626,90.00000000000782,26.132498172327658,3682.085243670443,7.352924823818184,11.852668339327678,19.205593163145863,27.341416559338455,3722.0234663366873,,,,,
14,14.0,seeding,26.13249817232729,7.35292482381815,11.852668339327588,150.0,90.0,3682.0852436704463,80.0,-53.86750182767271,50.0,-42.64707517618185,50.0,-38.147331660672414,5500.0,-1817.9147563295537,117.34141655934519,90.00000000000712,26.13249817232729,3682.0852436704463,7.352924823818151,11.852668339327588,19.20559316314574,27.34141655933806,3722.02346633669,,,,,
15,15.0,seeding,26.132498172326958,7.352924823818122,11.852668339327504,150.0,90.0,3682.085243670447,80.0,-53.86750182767304,50.0,-42.64707517618188,50.0,-38.14733166067249,5500.0,-1817.9147563295528,117.34141655934417,90.0000000000065,26.132498172326958,3682.085243670447,7.352924823818121,11.852668339327504,19.205593163145625,27.34141655933768,3722.023466336691,,,,,
16,16.0,seeding,26.132498172326656,7.3529248238180935,11.852668339327431,150.0,90.0,3682.085243670451,80.0,-53.867501827673344,50.0,-42.64707517618191,50.0,-38.14733166067257,5500.0,-1817.9147563295492,117.34141655934326,90.00000000000591,26.132498172326656,3682.085243670451,7.3529248238180935,11.852668339327431,19.205593163145526,27.341416559337333,3722.0234663366937,,,,,
17,17.0,seeding,26.132498172326322,7.352924823818069,11.85266833932736,150.0,90.0,3682.085243670451,80.0,-53.86750182767368,50.0,-42.64707517618193,50.0,-38.14733166067264,5500.0,-1817.9147563295492,117.3414165593424,90.00000000000543,26.132498172326322,3682.085243670451,7.352924823818069,11.85266833932736,19.20559316314543,27.341416559336995,3722.0234663366937,,,,,
18,18.0,seeding,26.132498172326123,7.3529248238180465,11.852668339327298,150.0,90.0,3682.0852436704536,80.0,-53.86750182767388,50.0,-42.64707517618196,50.0,-38.147331660672705,5500.0,-1817.9147563295464,117.34141655934167,90.00000000000489,26.132498172326123,3682.0852436704536,7.352924823818047,11.852668339327298,19.205593163145345,27.341416559336768,3722.023466336696,,,,,
19,19.0,seeding,26.132498172325892,7.352924823818026,11.85266833932724,150.0,90.0,3682.0852436704545,80.0,-53.867501827674104,50.0,-42.64707517618197,50.0,-38.14733166067276,5500.0,-1817.9147563295455,117.34141655934096,90.00000000000443,26.132498172325892,3682.0852436704545,7.352924823818026,11.85266833932724,19.205593163145267,27.34141655933652,3722.0234663366973,,,,,
20,20.0,seeding,26.132498172325658,7.3529248238180065,11.852668339327188,150.0,90.0,3682.0852436704563,80.0,-53.867501827674346,50.0,-42.64707517618199,50.0,-38.14733166067281,5500.0,-1817.9147563295437,117.34141655934033,90.00000000000405,26.132498172325658,3682.0852436704563,7.3529248238180065,11.852668339327188,19.205593163145195,27.341416559336274,3722.0234663366987,,,,,
21,21.0,seeding,26.13249817232546,7.352924823817991,11.852668339327142,150.0,90.0,3682.085243670458,80.0,-53.867501827674545,50.0,-42.64707517618201,50.0,-38.14733166067286,5500.0,-1817.914756329542,117.34141655933978,90.00000000000371,26.13249817232546,3682.085243670458,7.3529248238179905,11.852668339327142,19.20559316314513,27.341416559336057,3722.0234663367,,,,,
22,22.0,seeding,26.132498172325256,7.352924823817976,11.8526683393271,150.0,90.0,3682.0852436704563,80.0,-53.867501827674744,50.0,-42.64707517618202,50.0,-38.147331660672904,5500.0,-1817.9147563295437,117.34141655933924,90.00000000000341,26.132498172325256,3682.0852436704563,7.352924823817975,11.8526683393271,19.205593163145075,27.341416559335833,3722.0234663366987,,,,,
23,23.0,seeding,26.132498172325157,7.35292482381796,11.85266833932706,150.0,90.0,3682.0852436704586,80.0,-53.86750182767484,50.0,-42.64707517618204,50.0,-38.14733166067294,5500.0,-1817.9147563295414,117.34141655933877,90.00000000000307,26.132498172325157,3682.0852436704586,7.352924823817961,11.85266833932706,19.20559316314502,27.3414165593357,3722.0234663367005,,,,,
24,24.0,seeding,26.132498172325025,7.352924823817948,11.852668339327025,150.0,90.0,3682.085243670459,80.0,-53.86750182767497,50.0,-42.64707517618205,50.0,-38.147331660672975,5500.0,-1817.914756329541,117.34141655933837,90.00000000000279,26.132498172325025,3682.085243670459,7.352924823817949,11.852668339327025,19.205593163144975,27.341416559335553,3722.023466336701,,,,,
